,Name,Season,Reviews Link,Date
0,Pilot,1,https://www.imdb.com/title/tt0959621/reviews?ref_=tt_urv,20 Jan. 2008
1,Cat's in the Bag...,1,https://www.imdb.com/title/tt1054724/reviews?ref_=tt_urv,27 Jan. 2008
2,...And the Bag's in the River,1,https://www.imdb.com/title/tt1054725/reviews?ref_=tt_urv,10 Feb. 2008
3,Cancer Man,1,https://www.imdb.com/title/tt1054726/reviews?ref_=tt_urv,17 Feb. 2008
4,Gray Matter,1,https://www.imdb.com/title/tt1054727/reviews?ref_=tt_urv,24 Feb. 2008
5,Crazy Handful of Nothin',1,https://www.imdb.com/title/tt1054728/reviews?ref_=tt_urv,2 Mar. 2008
6,A No-Rough-Stuff-Type Deal,1,https://www.imdb.com/title/tt1054729/reviews?ref_=tt_urv,9 Mar. 2008
7,Seven Thirty-Seven,2,https://www.imdb.com/title/tt1232244/reviews?ref_=tt_urv,8 Mar. 2009
8,Grilled,2,https://www.imdb.com/title/tt1232249/reviews?ref_=tt_urv,15 Mar. 2009
9,Bit by a Dead Bee,2,https://www.imdb.com/title/tt1232250/reviews?ref_=tt_urv,22 Mar. 2009
10,Down,2,https://www.imdb.com/title/tt1232251/reviews?ref_=tt_urv,29 Mar. 2009
11,Breakage,2,https://www.imdb.com/title/tt1232252/reviews?ref_=tt_urv,5 Apr. 2009
12,Peekaboo,2,https://www.imdb.com/title/tt1232253/reviews?ref_=tt_urv,12 Apr. 2009
13,Negro y Azul,2,https://www.imdb.com/title/tt1232254/reviews?ref_=tt_urv,19 Apr. 2009
14,Better Call Saul,2,https://www.imdb.com/title/tt1232255/reviews?ref_=tt_urv,26 Apr. 2009
15,4 Days Out,2,https://www.imdb.com/title/tt1232256/reviews?ref_=tt_urv,3 May 2009
16,Over,2,https://www.imdb.com/title/tt1232245/reviews?ref_=tt_urv,10 May 2009
17,Mandala,2,https://www.imdb.com/title/tt1232246/reviews?ref_=tt_urv,17 May 2009
18,Phoenix,2,https://www.imdb.com/title/tt1232247/reviews?ref_=tt_urv,24 May 2009
19,ABQ,2,https://www.imdb.com/title/tt1232248/reviews?ref_=tt_urv,31 May 2009
